"Params (lr, epochs)",Mean Squared Error,Standard Deviation,Mean Uncertainty,Median Uncertainty
"(1.0, 30)",0.004523373645592297,0.00019815186946869993,11.126176267445196,11.098166386968991
"(1.0, 50)",0.00450024738376311,0.0001874513620904003,11.0971548602985,11.071916254016012
"(0.5, 30)",0.004472033495938135,0.00017372453771800754,12.80968040174156,12.786353056717706
"(0.5, 50)",0.004494867630766105,0.00017564689921053728,11.302422132807171,11.277527115228636
"(0.2, 30)",0.004509899181088086,0.0001644597265529924,8.416015961714047,8.397268874134841
"(0.2, 50)",0.004476185066519772,0.00017324241205075936,11.6723829725042,11.647117520467738
"(0.1, 30)",0.004643847134853221,0.00018163269259234053,31.826334790838008,31.770945275228872
"(0.1, 50)",0.004515875468413586,0.0001594978137955491,12.010063371228547,11.985109501956876
"(0.05, 30)",0.005300882642613903,0.0002453391732079704,79.91217715911837,79.71942842843818
"(0.05, 50)",0.0047437767350500815,0.0001811503097497047,41.70067339306356,41.61730983219984
