train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,0.0,43.57153129577637,0.0066296796330508915,322154789550879.4,0.0002751691615156192,0.003483031704493297,143950831780116.03,0.00017639407155208762,0.00021722683081770524,9339378613021.387,9.403028403558146e-06,0.24704800297800755,0.24369605528697064,0.2453763294449082,0.2572082784918016,0.2595838704057407,0.25804507314834596,0.04181468223634767,0.04485565858443668,0.04110148753788479,0.04735144324902964,0.048508623786807266,0.04730963870019295
1000,0.0,43.41847586631775,0.005482090614826984,257296591450007.8,0.00022954508160414849,0.003516239828906586,140631660142255.72,0.000182681220070689,0.0001945707618519516,17762313053708.14,1.0293708411394744e-05,0.24714349553986575,0.24659638766099648,0.24631211309747172,0.2553875697473775,0.25564143114592225,0.2547096746215413,0.03302363351940788,0.03771981918483601,0.03171763194033843,0.04283337030975352,0.04579832015374818,0.04275612425762458
1500,0.0,42.42507195472717,0.005159772291247913,227721297855208.2,0.00021628585594927474,0.003074495096776702,125618441819110.5,0.00015763856304413178,0.000170521984972886,8305663431073.664,8.09092275415215e-06,0.24925815679402766,0.24777242166271396,0.24805747881470783,0.25448164561090714,0.2542925383087637,0.25330574617578216,0.03238768655591998,0.03753471653431728,0.034984105991148186,0.04011636018344204,0.04371102644318572,0.04095290774509328
2000,0.0,46.82200503349304,0.004779370876197358,206543503065417.16,0.0002012050661158668,0.002736591385784468,99605220401310.34,0.00014175401962583846,0.00023983168634051746,22605641643432.848,1.2296049553158369e-05,0.2518666080026268,0.25061687832937934,0.25098055066719643,0.2532154660237794,0.25355017651754874,0.25299920536141257,0.028886107483496817,0.03140526229017172,0.029668994333460194,0.04193407467080764,0.04319020092904022,0.04209764704842058
2500,0.0,58.380006551742554,0.005305625481302027,228455839838718.5,0.00021684155774407952,0.0032775427522919814,108421389570503.9,0.0001680160148648263,0.00017656899814679506,14092203573078.297,8.746248730782745e-06,0.2530583986264786,0.25214925817310957,0.2523289703316265,0.25179661139239584,0.2517898029019996,0.25160219279579005,0.027443249481643294,0.02662936385881222,0.026422485138108402,0.0458800320027005,0.04573044670291471,0.04524368096580781
3000,0.0,79.5492594242096,0.0048265144832751045,207687709156608.8,0.0002000089284000221,0.0037459600451301023,138498206392106.8,0.00018660627471967447,0.00015640897479371084,13627851841608.307,7.94675352333065e-06,0.25392542535220675,0.2528097531852596,0.2529739255224149,0.25197503125532367,0.2521240022022295,0.2519450416100319,0.02629578818677771,0.02575428989326081,0.02534814161910006,0.04427087207258637,0.044213869946059824,0.04414387597812532
3500,0.0,99.41611909866333,0.004887635960157894,211892834190854.88,0.00020298568074524228,0.003583662475830093,127941724790403.0,0.00017712101841396835,0.0001361000446615035,10359425175617.404,6.716654559626671e-06,0.2572751652320331,0.25656102024212174,0.2566120416148753,0.2514787776543018,0.2513434196309827,0.2513202462339031,0.025774472156651993,0.025924188502011135,0.024444788290289118,0.043513853990677996,0.048321499942106536,0.04304420715268319
4000,0.0,107.38661217689514,0.004549036371995374,196179310550652.75,0.00019199291433032764,0.0041156879343833015,154305283122248.3,0.00019723892975633713,0.000121094038853672,7837232140038.948,5.251580650703639e-06,0.2579232952049873,0.2573125547324261,0.25734419439559825,0.2540372114229148,0.2539371104560121,0.2536447839155714,0.023449228616494674,0.02432141941906638,0.02235405633177168,0.039849551257094794,0.04478812167128592,0.039440002150950705
4500,0.0,116.41193866729736,0.004850364124696579,213284412962777.16,0.00020324887930197978,0.004200980103343898,164563652431658.0,0.00020161070333731606,9.272899382462661e-05,5584341281963.812,4.038284181782379e-06,0.2574368494623157,0.2572920065274671,0.2570389953252597,0.2552353519032373,0.25511777979061756,0.25491576671476357,0.022375488680381157,0.023350358554300114,0.021122867755529264,0.040796955598871934,0.04529437509827553,0.04075497440707167
5000,0.0,112.34954571723938,0.005115871325911733,230567291735358.16,0.00021561230083102037,0.004351310769168571,180900132033956.3,0.00021119402995098456,8.597066691960345e-05,7386655170667.933,3.981827439738059e-06,0.25890815290645935,0.258602529140861,0.2585409781833203,0.2508598288274337,0.2504304194613019,0.2505138255303657,0.022143639960548026,0.022078941787145832,0.020424534530153762,0.04322923713261904,0.04222410843258576,0.04323098683879653
5500,0.0,117.35717415809631,0.00518207258936535,231954363079642.75,0.00021823256441396026,0.004207434896464643,171110397288859.0,0.00020496743498123242,7.254233362025367e-05,5733485290144.947,3.050082475288409e-06,0.2582567623497981,0.25804912512255535,0.2579048578213846,0.250966170717832,0.2506949588036385,0.2507236680906561,0.01981651339656784,0.02035357729314512,0.018089699995499562,0.043317915687920636,0.045257609782275436,0.04364683898322009
6000,0.0,116.05674934387207,0.00502890391474095,224508927002904.4,0.00021332376952828906,0.004578087745073636,198097053534983.44,0.00021917216516488276,9.97344812613931e-05,7682149881218.744,3.800731455744246e-06,0.25633337320930355,0.2563151134718565,0.25601948159751453,0.24831044750872397,0.24791849084069956,0.24789848073667428,0.0178673562297235,0.02024039322780074,0.016640494036127287,0.04254167119576895,0.04660854878456486,0.04318520933591558
