train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,0.0,3.558128595352173,0.00703631350474931,351437738695684.8,0.0002683306745404836,0.004066835505342108,189896633504335.4,0.00022989723693943347,0.0007852234857019306,51061873424480.68,2.8704618639689326e-05,0.236267950483801,0.26066151039890023,0.2357490512699161,0.28791981098083314,0.33429316020646055,0.280001969239253,0.10020978499926456,0.15829511126228527,0.08342375018297206,0.09888622174010306,0.14530937936141908,0.07790653643747335
1000,0.0,2.078470468521118,0.006823431975687815,360417119128154.4,0.0002662488824893397,0.004236903285002197,174147592558845.53,0.0002699076518942365,0.0008212177803761598,64706068202196.664,4.647639399489296e-05,0.24958703448864575,0.2652544929856325,0.2502058891352884,0.27035467903446864,0.2771790540420258,0.27813672350517454,0.07919326674714365,0.10529592858297518,0.08117983905265969,0.08101899081508165,0.12007441489364984,0.08597688373926647
1500,0.0,2.1661126613616943,0.005112078519986946,237441863109779.72,0.00022079815726539794,0.003512458383516701,119084752574374.53,0.00016203330993409866,0.0008887991812542264,38727238495057.73,2.1448467546014334e-05,0.24936384920043272,0.2580938248801268,0.24774297634899928,0.2647943048065796,0.27488702701617446,0.2636732643633763,0.06613655380108303,0.08611496611074601,0.05402118347770518,0.06485137364396379,0.08640285614465965,0.05144423072069633
2000,0.0,3.2937207221984863,0.0047966835337017,217442014889643.1,0.00020524903661987305,0.0030320401238960264,109667979886915.17,0.0001577348930360306,0.0007427337271330966,65608508241449.83,1.8496210294807024e-05,0.25295718559977987,0.2609807827593889,0.25121934302037086,0.2608603042908563,0.2617225839748475,0.25305872024132664,0.057193349849193394,0.07292340986610112,0.04683057006874159,0.06479228029420972,0.07477671393497758,0.05693752884690834
2500,0.0,3.979069232940674,0.0055310618856669064,228308978256983.47,0.00021634060273193913,0.003296177576890348,108107260495927.94,0.00017841332526972596,0.0005440599067713272,37608079371863.516,1.422904102633203e-05,0.25385176212472427,0.258002750246239,0.2526476520921621,0.25722720947345123,0.26241291465019073,0.2558436594456049,0.052477511218922426,0.07289459520946773,0.04815613752059603,0.05870939159328179,0.07906515499977006,0.05747139076547344
3000,0.0,2.3998939990997314,0.004673154453695778,190511034574774.66,0.00019402441358437343,0.004223196499439991,145236722095920.03,0.00021260071968107753,0.0007060558976781609,40130299993651.01,3.234384043779867e-05,0.2570664845458924,0.2630896110120588,0.2562294678343096,0.26199399146413566,0.2659099958628129,0.262084335279025,0.06686023456403732,0.0829927685104797,0.06620633921177224,0.07116681493186917,0.08461101846628531,0.07098152282502344
3500,0.0,2.341592788696289,0.004508048448281635,252854270333502.62,0.00018941009785651756,0.004326487759609631,181199376238314.03,0.0001907102519501751,0.0004604504419783601,53048460968810.85,1.1037983693782566e-05,0.25635036795097355,0.2677893268367217,0.25448491296943626,0.26038487711484126,0.26770791874476463,0.2555516854497985,0.05316060748513577,0.08181245344549078,0.04734198640116371,0.05754705947255494,0.08816917549109854,0.052184214323727184
4000,0.0,3.8117165565490723,0.004989833907914909,210097903602634.88,0.00019999498344719583,0.004683252772538034,160591993247338.25,0.0002129242059425843,0.0004789911263824345,17150362765518.06,1.0611404957529929e-05,0.2597652120925998,0.2620973169328779,0.2587755569150213,0.2612016116756849,0.2630895822770923,0.25914602313701607,0.052398348574209205,0.06424502638770911,0.04762584956872449,0.05872055591529896,0.06823642917107689,0.052035057837913415
4500,0.0,2.8005893230438232,0.005065913897598687,245047836795783.06,0.0001946888577909864,0.004911469498629049,218278126678830.38,0.00021892928788992005,0.0008390885313612674,89226345270621.67,2.3777124398817703e-05,0.2615812170895932,0.2698285716354517,0.26083393381862585,0.2598148959515515,0.2698470551972713,0.2590382033988253,0.05337435452706337,0.08145230623102184,0.0545979306477177,0.055418229766211316,0.08097384006972544,0.05678429564684557
5000,0.0,5.13712477684021,0.004955528943659159,222878280609318.5,0.00020945000427299726,0.0046208557031747885,200360943415123.84,0.0002213643947084358,0.0002683833667110365,23847674858096.973,1.1685443006693259e-05,0.2595319957006821,0.2654147144644259,0.2582408500759337,0.2572941286081572,0.26318537104330325,0.2556647725745909,0.0559181816119354,0.07027968142782375,0.049588334754891994,0.08703606836966922,0.11461359286373861,0.08965794288532475
5500,0.0,7.886242389678955,0.005077159518577962,231566566915703.25,0.00021416442902835706,0.00454077858880495,179199990356028.78,0.00021158411788747437,0.0003029065811602878,16156931552035.98,7.90153728810617e-06,0.2614221059659335,0.2670501475253266,0.2604214344992352,0.25507773715616583,0.2583232852854642,0.25474736266076703,0.05001207440730867,0.06587716465209943,0.0466410162023628,0.05618546055542529,0.07097753118847532,0.05288146669691541
6000,0.0,8.658255100250244,0.005146334187105702,251455114429413.53,0.0002114160431621411,0.005060859862906542,211740042201972.06,0.0002274141349993534,0.0006691740030175804,42480151007543.51,1.303748557743949e-05,0.25514332241436866,0.2583389127712132,0.2551411210945278,0.25177771426757756,0.2548512222177755,0.24965768685335987,0.044088691658599126,0.05589151889958432,0.040197448287338296,0.05791047629754577,0.06944465859679348,0.057687631903750654
6500,0.0,5.287969589233398,0.0045650031402742495,214505959660909.0,0.00020411766596978631,0.004946466415295906,216805802158766.16,0.00022983359021181923,0.0003858327020382784,25023005993068.75,1.792459631058054e-05,0.2615776187724952,0.270455086712713,0.2616336795698625,0.2553713482527978,0.2626096783116823,0.2537361251451369,0.05644906777023991,0.08371337203239883,0.05803662562129335,0.07522377443678216,0.10745306640907763,0.07820422045630193
7000,0.0,5.850530624389648,0.004547467624811946,191061958407045.88,0.00019547580165037037,0.005165167163989491,212454793734657.53,0.00023420557859934403,0.0011636157163204507,37081587675196.05,2.992316981553079e-05,0.26082550235719015,0.26766810599640684,0.25966035015237376,0.2559784407591705,0.26222812512104715,0.25360114938164774,0.06328119318453856,0.08246720878238338,0.06192380711984153,0.06261897216068131,0.0803749275177758,0.06017252830472527
7500,0.0,7.217318058013916,0.0044771742811280674,223886097111121.5,0.0001966798880698961,0.004722312852834919,236789769062976.84,0.00021837306380473155,0.00030848633347236773,31749804533279.305,9.689548963518254e-06,0.25660159932040016,0.26534074091501536,0.2551713099541283,0.2524791879587657,0.261810741411005,0.25042663632113654,0.05215369357403431,0.07831632388873773,0.04647137460456066,0.06436206294761608,0.09140565946083473,0.06115005214326922
