train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,test_mse_exact_max,test_mse_exact_tot,test_mse_exact_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
500,0.0,0.7702310085296631,0.006432167278566593,330857695124792.9,0.00026986157094604504,0.0037091278329356237,144683950133402.84,0.00019608687987054035,0.0005175797960498127,34076131692037.234,3.463179260950635e-05,0.2283212578174145,0.22197773122219977,0.2241406289248496,0.2767635662537236,0.27868228212043566,0.27988468730699667,0.09996229705073563,0.10274289495492855,0.09940275989577693,0.1061291126187491,0.10464481921509151,0.10022393637359206
1000,0.0,1.1855177879333496,0.005630307376405074,286924084225003.25,0.0002376071568767121,0.00382473166222764,173567207062595.66,0.00021329673039342993,0.00086896004718938,84555066943764.78,4.3615179491945045e-05,0.23766867381587242,0.2370155166931069,0.23698326808065587,0.2646634960989408,0.27482683619444276,0.2702441370358079,0.07361289232879374,0.08525995925843537,0.07871374586366363,0.08038188530940023,0.09133181140399473,0.08434093362051147
1500,0.0,2.026024580001831,0.005283933674913,259066678397849.38,0.0002226545995524014,0.0032238576347780067,144068372203288.6,0.00016845560992270896,0.0009861939133477373,87309374004383.55,4.060574559441997e-05,0.2434681604749081,0.2424842699339625,0.24235971982396465,0.25623075310320215,0.26079731502606546,0.2589337484692244,0.05346184218642599,0.06172471040445481,0.05812181496517399,0.0578584360011994,0.06775274594012878,0.0626335430371126
2000,0.0,3.1709485054016113,0.00480165746163014,219760951439551.38,0.00020506112181655064,0.002972783477651811,120243953586469.4,0.00015301475568021134,0.000884523833213291,67003269102588.75,3.296531723419818e-05,0.24628793684858588,0.24533060906682197,0.24519156532935582,0.2564633386826172,0.2616041311039306,0.25865008158677094,0.047715699446804406,0.05847221360252517,0.05316005439569558,0.057292728073898014,0.06638826294347745,0.062460802983794424
2500,0.0,4.4742889404296875,0.00530208740477708,245916546779951.0,0.00022132257849527396,0.0034107839937938585,126182559929096.27,0.00018074053468789163,0.0006317308183554539,43966953921244.516,2.4859850764651992e-05,0.24818862866099217,0.2471432487750405,0.2470298178029293,0.25461525749009434,0.2574511762082427,0.25564700392082007,0.04491736473257646,0.051411909801560594,0.04790458153553309,0.05698521941122178,0.06248815206020134,0.059472118383931044
3000,0.0,6.260007619857788,0.004788401583844254,219275311530089.03,0.0002029898201243916,0.004042756160781715,169390989143043.75,0.00020305571277479754,0.00044721294878997747,38724342517635.61,1.8945028532742015e-05,0.24957119071210065,0.2484734525925637,0.24866773769925848,0.2548036035782636,0.2566404445270293,0.25593223502071577,0.0441565850574933,0.047694197517105894,0.046090062980127376,0.05388631709156929,0.05609599996383263,0.05457136352151223
3500,0.0,8.416075706481934,0.004871452678776387,220509252692249.5,0.00020587413175160858,0.0038581536009840017,151465424424072.72,0.00019070436320280814,0.00032564264699882833,30197664372981.227,1.3798732459996075e-05,0.2540698318320909,0.2531577019968442,0.2531516029537187,0.2545930222570774,0.256636359002965,0.2555514952696264,0.04167909437508203,0.04596390176204333,0.04478547090239284,0.050203437267335775,0.0537437133698903,0.05251828880855077
4000,0.0,10.67148208618164,0.004567514935100041,206513798296758.03,0.00019417313230825546,0.004320712802962226,174264412262075.88,0.00020909091172175844,0.0003391276292262481,28494861634637.87,1.5387970875574333e-05,0.254869107808017,0.25384850027681144,0.25387463848984354,0.25651475029966936,0.2583190129437999,0.2574234254354369,0.03704014620712816,0.04085515051118693,0.039333412170287074,0.04619987471689974,0.0491460712221323,0.04774563769353051
4500,0.0,13.618440389633179,0.004847079841363108,222570507289873.9,0.00020510556265600035,0.004252993472004146,179833071453384.8,0.00020933488219620068,0.0002001608897453333,28455847482329.31,1.3813438215113876e-05,0.2546854604314901,0.25378345078404807,0.2539442201905283,0.256359401354082,0.25813213430443616,0.25756437968181567,0.034521939618538326,0.038079066786636966,0.036858849100914706,0.04571592455687561,0.04947851146478091,0.04712707802368256
5000,0.0,17.39061164855957,0.005120453104061981,239395227204549.06,0.00021729721523986356,0.004423025582360488,194619724735169.84,0.00021935925507174728,0.00015348727655032653,22350273893551.63,1.1501056390538474e-05,0.25644383990565733,0.2557261804792734,0.2557657345227367,0.2514894696362507,0.2527506200158544,0.25201109340013433,0.03326074532146439,0.0377109343897429,0.035554312252641905,0.045333872011251004,0.04922759519591915,0.047654691128715364
